"Notes"	"County of Residence"	"County of Residence Code"	Births	Total Population	Birth Rate
	"Baldwin County, AL"	"01003"	2329	223234	10.433
	"Calhoun County, AL"	"01015"	1383	113605	12.174
	"Etowah County, AL"	"01055"	1236	102268	12.086
	"Houston County, AL"	"01069"	1336	105882	12.618
	"Jefferson County, AL"	"01073"	8481	658573	12.878
	"Lee County, AL"	"01081"	1879	164542	11.420
	"Madison County, AL"	"01089"	4260	372909	11.424
	"Mobile County, AL"	"01097"	5372	413210	13.001
	"Montgomery County, AL"	"01101"	3167	226486	13.983
	"Morgan County, AL"	"01103"	1435	119679	11.990
	"Shelby County, AL"	"01117"	2206	217702	10.133
	"Tuscaloosa County, AL"	"01125"	2630	209355	12.562
	"Unidentified Counties, AL"	"01999"	22901	1975740	11.591
	"Anchorage Borough, AK"	"02020"	3945	288000	13.698
	"Unidentified Counties, AK"	"02999"	5877	443545	13.250
	"Cochise County, AZ"	"04003"	1341	125922	10.649
	"Coconino County, AZ"	"04005"	1369	143476	9.542
	"Maricopa County, AZ"	"04013"	51165	4485414	11.407
	"Mohave County, AZ"	"04015"	1733	212181	8.168
	"Navajo County, AZ"	"04017"	1359	110924	12.252
	"Pima County, AZ"	"04019"	10379	1047279	9.910
	"Pinal County, AZ"	"04021"	4505	462789	9.734
	"Yavapai County, AZ"	"04025"	1806	235099	7.682
	"Yuma County, AZ"	"04027"	2952	213787	13.808
	"Unidentified Counties, AZ"	"04999"	2766	241846	11.437
	"Benton County, AR"	"05007"	3519	279141	12.607
	"Faulkner County, AR"	"05045"	1513	126007	12.007
	"Pulaski County, AR"	"05119"	5183	391911	13.225
	"Saline County, AR"	"05125"	1372	122437	11.206
	"Sebastian County, AR"	"05131"	1670	127827	13.065
	"Washington County, AR"	"05143"	3174	239187	13.270
	"Unidentified Counties, AR"	"05999"	20133	1731294	11.629
	"Alameda County, CA"	"06001"	18212	1671329	10.897
	"Butte County, CA"	"06007"	2154	219186	9.827
	"Contra Costa County, CA"	"06013"	11729	1153526	10.168
	"El Dorado County, CA"	"06017"	1524	192843	7.903
	"Fresno County, CA"	"06019"	14057	999101	14.070
	"Humboldt County, CA"	"06023"	1417	135558	10.453
	"Imperial County, CA"	"06025"	2533	181215	13.978
	"Kern County, CA"	"06029"	12765	900202	14.180
	"Kings County, CA"	"06031"	2115	152940	13.829
	"Los Angeles County, CA"	"06037"	107231	10039107	10.681
	"Madera County, CA"	"06039"	2045	157327	12.998
	"Marin County, CA"	"06041"	2071	258826	8.002
	"Merced County, CA"	"06047"	3806	277680	13.706
	"Monterey County, CA"	"06053"	5846	434061	13.468
	"Napa County, CA"	"06055"	1279	137744	9.285
	"Orange County, CA"	"06059"	35052	3175692	11.038
	"Placer County, CA"	"06061"	3658	398329	9.183
	"Riverside County, CA"	"06065"	28026	2470546	11.344
	"Sacramento County, CA"	"06067"	19089	1552058	12.299
	"San Bernardino County, CA"	"06071"	28656	2180085	13.144
	"San Diego County, CA"	"06073"	38540	3338330	11.545
	"San Francisco County, CA"	"06075"	8438	881549	9.572
	"San Joaquin County, CA"	"06077"	10009	762148	13.133
	"San Luis Obispo County, CA"	"06079"	2447	283111	8.643
	"San Mateo County, CA"	"06081"	8206	766573	10.705
	"Santa Barbara County, CA"	"06083"	5537	446499	12.401
	"Santa Clara County, CA"	"06085"	21184	1927852	10.988
	"Santa Cruz County, CA"	"06087"	2434	273213	8.909
	"Shasta County, CA"	"06089"	1903	180080	10.568
	"Solano County, CA"	"06095"	5065	447643	11.315
	"Sonoma County, CA"	"06097"	4395	494336	8.891
	"Stanislaus County, CA"	"06099"	7402	550660	13.442
	"Tulare County, CA"	"06107"	6714	466195	14.402
	"Ventura County, CA"	"06111"	8736	846006	10.326
	"Yolo County, CA"	"06113"	2057	220500	9.329
	"Unidentified Counties, CA"	"06999"	10147	940173	10.793
	"Adams County, CO"	"08001"	6204	517421	11.990
	"Arapahoe County, CO"	"08005"	7467	656590	11.372
	"Boulder County, CO"	"08013"	2509	326196	7.692
	"Denver County, CO"	"08031"	9389	727211	12.911
	"Douglas County, CO"	"08035"	3472	351154	9.887
	"El Paso County, CO"	"08041"	9037	720403	12.544
	"Jefferson County, CO"	"08059"	5713	582881	9.801
	"Larimer County, CO"	"08069"	3141	356899	8.801
	"Mesa County, CO"	"08077"	1580	154210	10.246
	"Pueblo County, CO"	"08101"	1802	168424	10.699
	"Weld County, CO"	"08123"	4384	324492	13.510
	"Unidentified Counties, CO"	"08999"	8171	872855	9.361
	"Fairfield County, CT"	"09001"	9494	943332	10.064
	"Hartford County, CT"	"09003"	9021	891720	10.116
	"Litchfield County, CT"	"09005"	1380	180333	7.653
	"Middlesex County, CT"	"09007"	1288	162436	7.929
	"New Haven County, CT"	"09009"	8391	854757	9.817
	"New London County, CT"	"09011"	2482	265206	9.359
	"Tolland County, CT"	"09013"	1177	150721	7.809
	"Windham County, CT"	"09015"	1025	116782	8.777
	"Kent County, DE"	"10001"	2064	180786	11.417
	"New Castle County, DE"	"10003"	6153	558753	11.012
	"Sussex County, DE"	"10005"	2345	234225	10.012
	"District of Columbia, DC"	"11001"	9079	705749	12.864
	"Alachua County, FL"	"12001"	2701	269043	10.039
	"Bay County, FL"	"12005"	1990	174705	11.391
	"Brevard County, FL"	"12009"	5185	601942	8.614
	"Broward County, FL"	"12011"	21725	1952778	11.125
	"Charlotte County, FL"	"12015"	951	188910	5.034
	"Citrus County, FL"	"12017"	1028	149657	6.869
	"Clay County, FL"	"12019"	2235	219252	10.194
	"Collier County, FL"	"12021"	3117	384902	8.098
	"Duval County, FL"	"12031"	13034	957755	13.609
	"Escambia County, FL"	"12033"	3871	318316	12.161
	"Hernando County, FL"	"12053"	1565	193920	8.070
	"Hillsborough County, FL"	"12057"	17174	1471968	11.667
	"Indian River County, FL"	"12061"	1260	159923	7.879
	"Lake County, FL"	"12069"	3429	367118	9.340
	"Lee County, FL"	"12071"	6928	770577	8.991
	"Leon County, FL"	"12073"	2968	293582	10.110
	"Manatee County, FL"	"12081"	3481	403253	8.632
	"Marion County, FL"	"12083"	3552	365579	9.716
	"Martin County, FL"	"12085"	1207	161000	7.497
	"Miami-Dade County, FL"	"12086"	30258	2716940	11.137
	"Okaloosa County, FL"	"12091"	2706	210738	12.841
	"Orange County, FL"	"12095"	16622	1393452	11.929
	"Osceola County, FL"	"12097"	4440	375751	11.816
	"Palm Beach County, FL"	"12099"	14738	1496770	9.847
	"Pasco County, FL"	"12101"	5092	553947	9.192
	"Pinellas County, FL"	"12103"	7895	974996	8.097
	"Polk County, FL"	"12105"	8196	724777	11.308
	"St. Johns County, FL"	"12109"	2208	264672	8.342
	"St. Lucie County, FL"	"12111"	3107	328297	9.464
	"Santa Rosa County, FL"	"12113"	1947	184313	10.564
	"Sarasota County, FL"	"12115"	2885	433742	6.651
	"Seminole County, FL"	"12117"	4646	471826	9.847
	"Volusia County, FL"	"12127"	4824	553284	8.719
	"Unidentified Counties, FL"	"12999"	13037	1390052	9.379
	"Bartow County, GA"	"13015"	1299	107738	12.057
	"Bibb County, GA"	"13021"	2120	153159	13.842
	"Carroll County, GA"	"13045"	1619	119992	13.493
	"Chatham County, GA"	"13051"	3677	289430	12.704
	"Cherokee County, GA"	"13057"	2619	258773	10.121
	"Clarke County, GA"	"13059"	1299	128331	10.122
	"Clayton County, GA"	"13063"	3814	292256	13.050
	"Cobb County, GA"	"13067"	8869	760141	11.668
	"Columbia County, GA"	"13073"	1658	156714	10.580
	"Coweta County, GA"	"13077"	1668	148509	11.232
	"DeKalb County, GA"	"13089"	10327	759297	13.601
	"Douglas County, GA"	"13097"	1634	146343	11.166
	"Fayette County, GA"	"13113"	888	114421	7.761
	"Forsyth County, GA"	"13117"	2206	244252	9.032
	"Fulton County, GA"	"13121"	12590	1063937	11.833
	"Gwinnett County, GA"	"13135"	11034	936250	11.785
	"Hall County, GA"	"13139"	2573	204441	12.586
	"Henry County, GA"	"13151"	2758	234561	11.758
	"Houston County, GA"	"13153"	1985	157863	12.574
	"Lowndes County, GA"	"13185"	1683	117406	14.335
	"Muscogee County, GA"	"13215"	2816	195769	14.384
	"Paulding County, GA"	"13223"	1740	168667	10.316
	"Richmond County, GA"	"13245"	2977	202518	14.700
	"Whitfield County, GA"	"13313"	1253	104628	11.976
	"Unidentified Counties, GA"	"13999"	41265	3552027	11.617
	"Hawaii County, HI"	"15001"	2056	201513	10.203
	"Honolulu County, HI"	"15003"	12129	974563	12.446
	"Maui County, HI"	"15009"	1832	167417	10.943
	"Unidentified Counties, HI"	"15999"	780	72379	10.777
	"Ada County, ID"	"16001"	4929	481587	10.235
	"Bonneville County, ID"	"16019"	1834	119062	15.404
	"Canyon County, ID"	"16027"	3046	229849	13.252
	"Kootenai County, ID"	"16055"	1861	165697	11.231
	"Unidentified Counties, ID"	"16999"	10393	790870	13.141
	"Champaign County, IL"	"17019"	2230	209689	10.635
	"Cook County, IL"	"17031"	59031	5150233	11.462
	"DeKalb County, IL"	"17037"	1143	104897	10.896
	"DuPage County, IL"	"17043"	9988	922921	10.822
	"Kane County, IL"	"17089"	5976	532403	11.225
	"Kankakee County, IL"	"17091"	1256	109862	11.433
	"Kendall County, IL"	"17093"	1548	128990	12.001
	"Lake County, IL"	"17097"	6986	696535	10.030
	"LaSalle County, IL"	"17099"	1130	108669	10.399
	"McHenry County, IL"	"17111"	3063	307774	9.952
	"McLean County, IL"	"17113"	1769	171517	10.314
	"Macon County, IL"	"17115"	1253	104009	12.047
	"Madison County, IL"	"17119"	2747	262966	10.446
	"Peoria County, IL"	"17143"	2354	179179	13.138
	"Rock Island County, IL"	"17161"	1626	141879	11.460
	"St. Clair County, IL"	"17163"	3008	259686	11.583
	"Sangamon County, IL"	"17167"	2099	194672	10.782
	"Tazewell County, IL"	"17179"	1350	131803	10.243
	"Will County, IL"	"17197"	7216	690743	10.447
	"Winnebago County, IL"	"17201"	3448	282572	12.202
	"Unidentified Counties, IL"	"17999"	20907	1980822	10.555
	"Allen County, IN"	"18003"	5302	379299	13.978
	"Clark County, IN"	"18019"	1411	118302	11.927
	"Delaware County, IN"	"18035"	1052	114135	9.217
	"Elkhart County, IN"	"18039"	3032	206341	14.694
	"Hamilton County, IN"	"18057"	3683	338011	10.896
	"Hendricks County, IN"	"18063"	1656	170311	9.723
	"Johnson County, IN"	"18081"	1852	158167	11.709
	"Lake County, IN"	"18089"	5682	485493	11.704
	"La Porte County, IN"	"18091"	1175	109888	10.693
	"Madison County, IN"	"18095"	1415	129569	10.921
	"Marion County, IN"	"18097"	14048	964582	14.564
	"Monroe County, IN"	"18105"	1084	148431	7.303
	"Porter County, IN"	"18127"	1643	170389	9.643
	"St. Joseph County, IN"	"18141"	3436	271826	12.640
	"Tippecanoe County, IN"	"18157"	2067	195732	10.560
	"Vanderburgh County, IN"	"18163"	2175	181451	11.987
	"Vigo County, IN"	"18167"	1188	107038	11.099
	"Unidentified Counties, IN"	"18999"	28958	2483254	11.661
	"Black Hawk County, IA"	"19013"	1645	131228	12.535
	"Johnson County, IA"	"19103"	1738	151140	11.499
	"Linn County, IA"	"19113"	2738	226706	12.077
	"Polk County, IA"	"19153"	6551	490161	13.365
	"Scott County, IA"	"19163"	2086	172943	12.062
	"Woodbury County, IA"	"19193"	1483	103107	14.383
	"Unidentified Counties, IA"	"19999"	21408	1879785	11.389
	"Douglas County, KS"	"20045"	1090	122259	8.915
	"Johnson County, KS"	"20091"	6948	602401	11.534
	"Sedgwick County, KS"	"20173"	6737	516042	13.055
	"Shawnee County, KS"	"20177"	2112	176875	11.941
	"Wyandotte County, KS"	"20209"	2610	165429	15.777
	"Unidentified Counties, KS"	"20999"	15898	1330308	11.951
	"Boone County, KY"	"21015"	1664	133581	12.457
	"Fayette County, KY"	"21067"	3829	323152	11.849
	"Hardin County, KY"	"21093"	1342	110958	12.095
	"Jefferson County, KY"	"21111"	9560	766757	12.468
	"Kenton County, KY"	"21117"	2205	166998	13.204
	"Warren County, KY"	"21227"	1738	132896	13.078
	"Unidentified Counties, KY"	"21999"	32731	2833331	11.552
	"Ascension Parish, LA"	"22005"	1656	126604	13.080
	"Bossier Parish, LA"	"22015"	1654	127039	13.020
	"Caddo Parish, LA"	"22017"	3151	240204	13.118
	"Calcasieu Parish, LA"	"22019"	2970	203436	14.599
	"East Baton Rouge Parish, LA"	"22033"	5730	440059	13.021
	"Jefferson Parish, LA"	"22051"	5755	432493	13.307
	"Lafayette Parish, LA"	"22055"	3203	244390	13.106
	"Livingston Parish, LA"	"22063"	1765	140789	12.536
	"Orleans Parish, LA"	"22071"	4664	390144	11.955
	"Ouachita Parish, LA"	"22073"	2052	153279	13.387
	"Rapides Parish, LA"	"22079"	1638	129648	12.634
	"St. Tammany Parish, LA"	"22103"	2859	260419	10.978
	"Tangipahoa Parish, LA"	"22105"	1882	134758	13.966
	"Terrebonne Parish, LA"	"22109"	1373	110461	12.430
	"Unidentified Counties, LA"	"22999"	18589	1515071	12.269
	"Androscoggin County, ME"	"23001"	1162	108277	10.732
	"Cumberland County, ME"	"23005"	2680	295003	9.085
	"Kennebec County, ME"	"23011"	1109	122302	9.068
	"Penobscot County, ME"	"23019"	1247	152148	8.196
	"York County, ME"	"23031"	1794	207641	8.640
	"Unidentified Counties, ME"	"23999"	3787	458841	8.253
	"Anne Arundel County, MD"	"24003"	6821	579234	11.776
	"Baltimore County, MD"	"24005"	9625	827370	11.633
	"Carroll County, MD"	"24013"	1653	168447	9.813
	"Cecil County, MD"	"24015"	1166	102855	11.336
	"Charles County, MD"	"24017"	1873	163257	11.473
	"Frederick County, MD"	"24021"	2934	259547	11.304
	"Harford County, MD"	"24025"	2689	255441	10.527
	"Howard County, MD"	"24027"	3351	325690	10.289
	"Montgomery County, MD"	"24031"	12064	1050688	11.482
	"Prince George's County, MD"	"24033"	11803	909327	12.980
	"St. Mary's County, MD"	"24037"	1369	113510	12.061
	"Washington County, MD"	"24043"	1657	151049	10.970
	"Baltimore city, MD"	"24510"	7707	593490	12.986
	"Unidentified Counties, MD"	"24999"	5466	545775	10.015
	"Barnstable County, MA"	"25001"	1474	212990	6.921
	"Berkshire County, MA"	"25003"	887	124944	7.099
	"Bristol County, MA"	"25005"	5548	565217	9.816
	"Essex County, MA"	"25009"	8492	789034	10.763
	"Hampden County, MA"	"25013"	4777	466372	10.243
	"Hampshire County, MA"	"25015"	982	160830	6.106
